"Customers Who Bought This Also Bought","Kunden, die diesen Artikel gekauft haben, kauften auch"
"Check items to add to the cart or","Wählen Sie die Produkte aus, die dem Warenkorb hinzugefügt werden sollen oder"
"select all","Alle wählen"
"Add to Wishlist","Auf den Wunschzettel"
