//Admin Menu
"Checkout An Order","Buying product"
"Use To Checkout","Use To Checkout"
"Add By Admin","Added By Admin"
"Subtract By Admin","Subtract By Admin"
"Exchange From Credit","Exchange from credit"
"Friend Next Purchase","Referee purchases next order"
"Submit Poll","Submit Poll"
"Buy Reward Points","Buying points"
"Tagging product","Tagging product"
"Receive From Friend","Receive From Friend"
"Friend Purchase","Friend Purchase"
"Sign Up For Newsletter","Sign Up For Newsletter"

//transaction detail
"Reward for registering","Reward for registering"
"Reward for reviewing product <b><a href='%s'>%s</a></b>","Reward for reviewing product <b><a href='%s'>%s</a></b>"
"Reward for purchasing product <b><a href='%s'>%s</a></b>","Reward for purchasing product <b><a href='%s'>%s</a></b>"
"Reward for friend (<b>%s</b>) visit refferal link","Reward for friend (<b>%s</b>) visit refferal link"
"Reward for friend (<b>%s</b>) registering","Reward for friend (<b>%s</b>) registering"
"Reward for the first purchase of friend (<b>%s</b>)","Reward for the first purchase of friend (<b>%s</b>)"
"Reward for purchase of friend (<b>%s</b>)","Reward for purchase of friend (<b>%s</b>)"
"Receive points from friend (<b>%s</b>)","Receive points from friend (<b>%s</b>)"
"Send points to friend (<b>%s</b>)","Send points to friend (<b>%s</b>)"
"Reward for checkout order <b><a href='%s'>#%s</a></b>","Reward for checkout order <b><a href='%s'>#%s</a></b>"
"Exchange to %s credits","Exchange to %s credits"
"Use to checkout order <b><a href='%s'>#%s</a></b>","Use to checkout order <b><a href='%s'>#%s</a></b>"
"Reward from admin: <i>%s</i>","Reward from admin: <i>%s</i>"
"Subtract by admin: <i>%s</i>","Subtract by admin: <i>%s</i>"
"Exchange from credit","Exchange from credit"
"Reward for submitting poll","Reward for submitting poll"
"Reward for signing up newsletter","Reward for signing up newsletter"
"You add new tag <strong>%s</strong>","Add new tag <strong>%s</strong>"
"Send points to friend","Send points to friend"
"Email of your friend","Email of your friend"
"Friend name","Friend name"
"Security Code","Security Code"
"Send","Send"
"* Required Fields","* Required Fields"

//Produdct list
"Earn %s","Earn %s"
"Earn <b>%s</b>","Earn <b>%s</b>"

//Product View
"You will earn <b>%s</b> for buying this product","You will earn <b>%s</b> for buying this product"

//Checkout page
"Use Your Reward Points!","Use your rewarded points!"
"You will be awarded","You will be awarded"
"%s for <b>%s grand total</b> of this order","%s for <b>%s grand total</b> of this order"
"%s for product: <b>%s</b>","%s for product: <b>%s</b>"
"Your current balance of rewarded points: <b>%s</b>","Your current balance of rewarded points: <b>%s</b>"
"Points/Currency Exchange Rate: <b>%s</b> = <b>%s</b>","Points/Currency Exchange Rate: <b>%s</b> = <b>%s</b>"
"Spend your rewarded points","Spend your rewarded points"
"Choose number of points to spend","Choose number of points to spend"
"Points spent to checkout","Points spent to checkout"
"Use maximum number of points","Use maximum number of points"
"You Spend","You Spend"

//Message
"You have been rewarded %s %s for submitting poll","You have been rewarded %s %s for submitting poll"
"You recived %s Reward Points for signing up!","You have been rewarded %s points for signing up!"
"You received %s for signing up a newsletter","You have been rewarded %s for subscribing newsletter!"
"You have some error while import points:","You have some error while import points:"
"You haven't selected import file yet","You haven't selected import file yet"
"You already use %s to checkout so you could not use other promotions","You already use %s to checkout so you could not use other promotions"
"Email can not send !","Email can not send !"
"Your reward points were sent successfuly","Your reward points were sent successfuly"
"Your reward points were sent successfully","Your reward points were sent successfully"
"You can not send reward points to yourself","You can not send reward points to yourself"
"You do not have enough points to send to your friend","You do not have enough points to send to your friend"
"Your Security code is incorrect","Your Security code is incorrect"
"You do not have permission!","You do not have permission!"
"Your reward points was exchanged to credit successfuly","Your reward points was exchanged to credit successfuly"
"There is a system error. Please contact to administrator.","There is a system error. Please contact to administrator."
"Seperate by comma (,)","Seperate by comma (,)"
"Spent Reward Points","Spent Reward Points"
"Reward Points Discount","Reward Points Discount"
"Transaction Type","Transaction Type"
"Reward Points Manager","Reward Points Manager"
"Some errors occur while importing points","Some errors occur while importing points"
"Please select a file to import","Please select a file to import"
"You must login to use this function","You must login to use this function"
"Email can not send","Email can not send"
"Credit module error or has not been installed yet","Credit module error or has not been installed yet"
"The %s will not be added or subtracted if the transaction status is <b>Pending or Uncompleted</b>","The %s will not be added or subtracted if the transaction status is <b>Pending or Uncompleted</b>"
"Updating cart information...","Updating cart information..."
